extractNo,varType,mean,count,std,ci95
5,0D,-0.0011120982927239763,1000,0.026901240192559087,"[-0.0027794544342023414, 0.0005552578487543886]"
5,1D,0.029691265535045877,1000,0.018854966141409198,"[0.028522622626086572, 0.03085990844400518]"
6,0D,-0.0012545367135722823,1000,0.025637055476861598,"[-0.002843537874589028, 0.00033446444744446345]"
6,1D,0.026807499489261196,1000,0.019364969201894434,"[0.025607246263120005, 0.028007752715402387]"
7,0D,-0.001281339567591254,1000,0.024802857579294152,"[-0.0028186366072455154, 0.0002559574720630074]"
7,1D,0.025591871506133252,1000,0.018590518922417996,"[0.024439619205618972, 0.02674412380664753]"
8,0D,-0.001237420635494839,1000,0.023347015998233134,"[-0.0026844836791018443, 0.00020964240811216636]"
8,1D,0.023606669960624195,1000,0.01677471678631129,"[0.02256696224250372, 0.02464637767874467]"
9,0D,-0.0014458354485426786,1000,0.021336898702024428,"[-0.002768310131355354, -0.00012336076573000294]"
9,1D,0.02065382879441151,1000,0.015637510554937693,"[0.01968460584875639, 0.021623051740066634]"
10,0D,-0.0010731858783182566,1000,0.02050741737233529,"[-0.002344248775674239, 0.00019787701903772577]"
10,1D,0.020411185729543826,1000,0.014928579432079222,"[0.019485902790116007, 0.021336468668971646]"
11,0D,-0.0021640949260049924,1000,0.02051070974419319,"[-0.003435361886682889, -0.0008928279653270959]"
11,1D,0.018151370939335734,1000,0.013814816815177657,"[0.01729511972209422, 0.01900762215657725]"
12,0D,-0.0023486891965526753,1000,0.018964597175831273,"[-0.0035241271074238573, -0.0011732512856814934]"
12,1D,0.01621953044995782,1000,0.01262813801358095,"[0.015436830346852367, 0.017002230553063276]"
13,0D,-0.003801504419109154,1000,0.017050430569871797,"[-0.004858301054581363, -0.002744707783636945]"
13,1D,0.014383084020725015,1000,0.011798035203900915,"[0.013651834222805167, 0.015114333818644863]"
14,0D,-0.003836781050227823,1000,0.016594654456330567,"[-0.0048653283895109915, -0.002808233710944654]"
14,1D,0.013001740992739793,1000,0.011584540732168535,"[0.012283723719271108, 0.013719758266208477]"
15,0D,-0.003769143995444574,1000,0.014888400633580566,"[-0.004691936627141062, -0.002846351363748086]"
15,1D,0.012403950650361319,1000,0.010231099052473602,"[0.011769820561298218, 0.01303808073942442]"
16,0D,-0.0034551036740656416,1000,0.014133794966623826,"[-0.004331125361962196, -0.0025790819861690874]"
16,1D,0.011193286484499104,1000,0.00963679541619414,"[0.010595991716438326, 0.011790581252559882]"
17,0D,-0.0033599445555063307,1000,0.013246282169695936,"[-0.004180957630342448, -0.002538931480670213]"
17,1D,0.009997152878740711,1000,0.009017830080771996,"[0.009438221979631366, 0.010556083777850056]"
18,0D,-0.0030706572637176424,1000,0.012002585569849235,"[-0.003814585224668797, -0.0023267293027664877]"
18,1D,0.008895336640749495,1000,0.008154398543019676,"[0.008389921782793361, 0.00940075149870563]"
19,0D,-0.0035857294685521317,1000,0.011423030050741146,"[-0.004293736206273591, -0.002877722730830672]"
19,1D,0.00786415188745422,1000,0.007410232639490348,"[0.0074048609100570055, 0.008323442864851432]"
20,0D,-0.003611619459817128,1000,0.010985603233797905,"[-0.004292514202535495, -0.0029307247170987606]"
20,1D,0.007069494114364392,1000,0.007121902989148749,"[0.006628073993843151, 0.007510914234885633]"
21,0D,-0.0034612072020173764,1000,0.009788540242305101,"[-0.004067907211841828, -0.002854507192192925]"
21,1D,0.006427223171813369,1000,0.006687258787372351,"[0.006012742578020353, 0.006841703765606386]"
22,0D,-0.0035616481507418796,1000,0.009149130854349204,"[-0.004128717156110928, -0.002994579145372831]"
22,1D,0.006016887428952608,1000,0.006517391685976287,"[0.005612935307182461, 0.006420839550722755]"
23,0D,-0.0037056376776213014,1000,0.00842614951850416,"[-0.004227895835539945, -0.003183379519702658]"
23,1D,0.005480373950311465,1000,0.005938729406579348,"[0.0051122876882001315, 0.005848460212422799]"
24,0D,-0.004107368352875181,1000,0.008047550619144077,"[-0.004606160707898254, -0.0036085759978521075]"
24,1D,0.004661953312312753,1000,0.005575234974459733,"[0.004316396668518253, 0.005007509956107253]"
25,0D,-0.004030922686633783,1000,0.007575881618751166,"[-0.004500480694135302, -0.0035613646791322643]"
25,1D,0.004185092642704773,1000,0.005181262545995983,"[0.0038639546630116362, 0.004506230622397909]"
26,0D,-0.00401551635891978,1000,0.0071139570727191586,"[-0.00445644398643833, -0.0035745887314012305]"
26,1D,0.0037474252324009006,1000,0.004901173748674232,"[0.00344364733622179, 0.004051203128580011]"
27,0D,-0.003904875549103911,1000,0.006940351976689387,"[-0.004335043021291881, -0.0034747080769159415]"
27,1D,0.003202602058460692,1000,0.004621087151200101,"[0.0029161841094476402, 0.003489020007473744]"
28,0D,-0.003983412340514333,1000,0.006639572962067971,"[-0.004394937336234042, -0.003571887344794625]"
28,1D,0.002824631018377588,1000,0.0043570432076882855,"[0.0025545786825363916, 0.003094683354218784]"
29,0D,-0.003898311108047219,1000,0.006466439686769873,"[-0.0042991051921882715, -0.003497517023906167]"
29,1D,0.0022323479303248887,1000,0.003921078199295939,"[0.0019893169856541153, 0.002475378874995662]"
30,0D,-0.003238243332442889,1000,0.0058554372015443105,"[-0.0036011670902009528, -0.0028753195746848256]"
30,1D,0.0020101721623927227,1000,0.003658204920685378,"[0.001783434272331495, 0.0022369100524539504]"
